state,num_markets,population,people_per_market
Alabama,140,4849377,34638.40714285714
Alaska,38,736732,19387.684210526317
Arizona,92,6731484,73168.30434782608
Arkansas,109,2966369,27214.394495412846
California,760,38802500,51055.92105263158
Colorado,161,5355866,33266.24844720497
Connecticut,158,3596677,22763.778481012658
Delaware,36,935614,25989.277777777777
District of Columbia,57,658893,11559.526315789473
Florida,263,19893297,75639.91254752851
Georgia,163,10097343,61946.88957055215
Hawaii,97,1419561,14634.649484536083
Idaho,65,1634464,25145.6
Illinois,337,12880580,38221.305637982194
Indiana,195,6596855,33830.02564102564
Iowa,228,3107126,13627.745614035088
Kansas,120,2904021,24200.175
Kentucky,137,4413457,32215.014598540147
Louisiana,82,4649676,56703.365853658535
Maine,96,1330089,13855.09375
Maryland,164,5976407,36441.506097560974
Massachusetts,327,6745408,20628.15902140673
Michigan,341,9909877,29061.222873900293
Minnesota,197,5457173,27701.38578680203
Mississippi,82,2994079,36513.15853658537
Missouri,256,6063589,23685.89453125
Montana,70,1023579,14622.557142857142
Nebraska,103,1881503,18267.019417475727
Nevada,38,2839099,74713.13157894737
New Hampshire,96,1326813,13820.96875
New Jersey,152,8938175,58803.78289473684
New Mexico,72,2085572,28966.277777777777
New York,670,19746227,29471.980597014925
North Carolina,256,9943964,38843.609375
North Dakota,66,739482,11204.272727272728
Ohio,333,11594163,34817.30630630631
Oklahoma,73,3878051,53123.98630136986
Oregon,167,3970239,23773.88622754491
Pennsylvania,309,12787209,41382.553398058255
Rhode Island,36,1055173,29310.36111111111
South Carolina,135,4832482,35796.16296296296
South Dakota,41,853175,20809.146341463416
Tennessee,131,6549352,49995.0534351145
Texas,226,26956958,119278.57522123893
Utah,45,2942902,65397.822222222225
Vermont,92,626562,6810.45652173913
Virginia,260,8326289,32024.188461538462
Washington,170,7061530,41538.41176470588
West Virginia,93,1850326,19895.978494623654
Wisconsin,309,5757564,18632.893203883494
Wyoming,49,584153,11921.489795918367
